,WMO,FAA,Station_Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
77,72489,REV,"Reno, NV ",North_America,KREV,RENO,NV,US,1515,39.57,N,119.78,W
78,72493,OAK,"Oakland Int, CA ",North_America,KOAK,OAKLAND,CA,US,3,37.73,N,122.22,W
79,72501,OKX,"Upton, NY ",North_America,KOKX,BROOKHAVEN,NY,US,20,40.87,N,72.87,W
80,72518,ALB,"Albany, NY ",North_America,KALB,ALBANY,NY,US,89,42.75,N,73.8,W
81,72520,PIT,"Pittsburgh/Moon, PA ",North_America,KPIT,PITTSBURGH,PA,US,373,40.5,N,80.22,W
82,72528,BUF,"Buffalo Int, NY ",North_America,KBUF,BUFFALO,NY,US,215,42.93,N,78.73,W
83,72558,OAX,"Omaha/Valley, NE ",North_America,KOAX,OMAHA VALLEY,NE,US,350,41.32,N,96.37,W
84,72562,LBF,"North Platte/Lee Bird, NE ",North_America,KLBF,NORTH PLATTE,NE,US,849,41.13,N,100.68,W
85,72572,SLC,"Salt Lake City/Intnl, UT ",North_America,KSLC,SALT LAKE CITY,UT,US,1288,40.78,N,111.97,W
86,72582,LKN,"Elko, NV ",North_America,KEKO,ELKO,NV,US,1367,40.87,N,115.73,W
87,72597,MFR,"Medford/Jackson, OR ",North_America,KMFR,MEDFORD,OR,US,405,42.37,N,122.87,W
88,72632,DTX,"White Lake, MI ",North_America,KDTX,DETROIT,MI,US,329,42.68,N,83.47,W
89,72634,APX,"Gaylord, MI ",North_America,KAPX,GAYLORD,MI,US,446,44.92,N,84.72,W
90,72645,GRB,"Green Bay/Straubel, WI ",North_America,KGRB,GREEN BAY,WI,US,214,44.48,N,88.13,W
91,72649,MPX,"Chanhassen, MN ",North_America,KMPX,CHANHASSEN,MN,US,287,44.85,N,93.57,W
92,72659,ABR,"Aberdeen/Reg, SD ",North_America,KABR,ABERDEEN,SD,US,397,45.45,N,98.42,W
93,72662,RAP,"Rapid City, SD ",North_America,KRAP,RAPID CITY REGIONA,SD,US,966,44.05,N,103.07,W
94,72672,RIW,"Riverton, WY ",North_America,KRIW,RIVERTON,WY,US,1688,43.0,N,108.5,W
95,72681,BOI,"Boise/Mun, ID ",North_America,KBOI,BOISE MUNICIPAL,ID,US,874,43.57,N,116.22,W
96,72694,SLE,"Salem/Mcnary, OR ",North_America,KSLE,SALEM/McNARY,OR,US,61,44.92,N,123.0,W
97,72712,CAR,"Caribou/Mun, ME ",North_America,KCAR,CARIBOU MUNICIPAL,ME,US,190,46.87,N,68.02,W
98,72747,INL,"Int.Falls/Falls Int, MN ",North_America,KINL,INTERNATIONAL FALL,MN,US,361,48.57,N,93.38,W
99,72764,BIS,"Bismarck/Mun, ND ",North_America,KBIS,BISMARCK,ND,US,506,46.77,N,100.75,W
100,72768,GGW,"Glasgow/Int, MT ",North_America,KGGW,GLASGOW,MT,US,700,48.22,N,106.62,W
101,72776,TFX,"Great Falls, MT ",North_America,KTFX,GREAT FALLS,MT,US,1130,47.45,N,111.38,W
102,72786,OTX,"Spokane, WA ",North_America,KGEG,SPOKANE INTL,WA,US,728,47.68,N,117.63,W
103,72797,UIL,"Quillayute, WA ",North_America,KUIL,QUILLAYUTE,WA,US,62,47.95,N,124.55,W
104,73033,CWVK,"Vernon, BC ",North_America,CWVK,VERNON BRIDGE,BC,CA,555,50.22,N,119.27,W
105,74389,GYX,"Gray, ME ",North_America,KGYX,GRAY,ME,US,125,43.88,N,70.25,W
106,74455,DVN,"Davenport, IA ",North_America,KDVN,DAVENPORT/QUAD CIT,IA,US,229,41.62,N,90.57,W
107,74560,ILX,"Lincoln, IL ",North_America,KILX,LINCOLN,IL,US,178,40.15,N,89.33,W
108,74794,XMR,"Cape Kennedy, FL ",North_America,KXMR,CAPE CANAVERAL,FL,US,3,28.47,N,80.55,W
109,76256,,"Empalme, Son.",North_America,MGYM,EMPALME,,MX,11,27.92,N,110.9,W
110,76405,,"La Paz, B.C.S.",North_America,MMLP,LA PAZ,,MX,27,24.13,N,110.42,W
111,76458,,Colonia Juancarrasco,North_America,MMMZ,MAZATLAN,,MX,4,23.2,N,106.42,W
112,76526,,Guadalupe,North_America,MZAC,ZACATECAS,,MX,2265,22.75,N,102.5,W
113,76595,,Cancun,North_America,MCUN,CANCUN,,MX,10,21.03,N,87.02,W
114,76612,,"Guadalajara, Jal.",North_America,MMGL,GUADALAJARA,,MX,1551,20.67,N,103.38,W
115,76644,MMMD,Aerop.Internacional Yuc ,North_America,MMMD,MERIDA,,MX,9,20.98,N,89.65,W
116,76654,,"Manzanillo, Col.",North_America,MMZO,MANZANILLO,,MX,3,19.05,N,104.33,W
117,76679,,"Aerop. Intl Mexico, D.F.",North_America,MMMX,MEXICO CITY,,MX,2234,19.43,N,99.08,W
118,78384,MWCR,Owen Roberts Arpt ,North_America,MWCR,OWEN ROBERTS,,CI,3,19.28,N,81.35,W
119,78397,MKJP,Kingston/Norman Manley ,North_America,MKJP,KINGSTON,,JM,14,17.93,N,76.78,W
120,78486,MDSD,Santo Domingo ,North_America,MDSD,SANTO DOMINGO,,DR,14,18.43,N,69.88,W
121,78526,TJSJ,San Juan/Int ,North_America,TJSJ,SAN JUAN INTL,,PR,3,18.43,N,66.0,W
122,78583,MZBZ,Phillip Goldston Intl. ,North_America,MZBZ,BELIZE,,BE,5,17.53,N,88.3,W
123,78866,TNCM,Juliana Airport ,North_America,TNCM,PHILIPSBURG,,CA,9,18.05,N,63.12,W
124,78954,TBPB,Grantley Adams ,North_America,TBPB,GRANTLY ADAMS,,BA,56,13.07,N,59.48,W
125,78988,TNCC,"Hato Airport, Curacao ",North_America,TNCC,CURACAO HATO,,AC,67,12.2,N,68.97,W
126,80001,SKSP,San Andres Isl ,North_America,SKSP,SAN ANDRES ISLAND,,CO,1,12.58,N,81.72,W
127,82022,SBBV,Boa Vista ,North_America,SBBV,BOA VISTA/AIRPORT,,BZ,140,2.83,N,60.7,W
128,91165,PHLI,"Lihue, HI ",North_America,PLIH,LIHUE-ON-KAUAI,HI,US,45,21.98,N,159.35,W
129,91285,PHTO,"Hilo/Gen, HI ",North_America,PHTO,HILO/LYMAN,HI,US,11,19.72,N,155.07,W
